timestamp_utc,funding_rate,settlement_hour_utc
2024-06-16 00:00:00,0.0001,0
2024-06-16 08:00:00,0.0001,8
2024-06-16 16:00:00,0.0001,16
2024-06-17 00:00:00,0.0001,0
2024-06-17 08:00:00,0.0001,8
2024-06-17 16:00:00,0.0001,16
2024-06-18 00:00:00,0.0001,0
2024-06-18 08:00:00,8.236e-05,8
2024-06-18 16:00:00,0.0001,16
2024-06-19 00:00:00,0.0001,0
2024-06-19 08:00:00,4.127e-05,8
2024-06-19 16:00:00,2.967e-05,16
2024-06-20 00:00:00,3.934e-05,0
2024-06-20 08:00:00,5.953e-05,8
2024-06-20 16:00:00,6.879e-05,16
2024-06-21 00:00:00,3.344e-05,0
2024-06-21 08:00:00,7.328e-05,8
2024-06-21 16:00:00,0.0001,16
2024-06-22 00:00:00,0.0001,0
2024-06-22 08:00:00,4.146e-05,8
2024-06-22 16:00:00,0.0001,16
2024-06-23 00:00:00,0.0001,0
2024-06-23 08:00:00,2.307e-05,8
2024-06-23 16:00:00,4.676e-05,16
2024-06-24 00:00:00,9.534e-05,0
2024-06-24 08:00:00,0.0001,8
2024-06-24 16:00:00,7.488e-05,16
2024-06-25 00:00:00,7.447e-05,0
2024-06-25 08:00:00,5.949e-05,8
2024-06-25 16:00:00,7.752e-05,16
2024-06-26 00:00:00,0.0001,0
2024-06-26 08:00:00,0.0001,8
2024-06-26 16:00:00,0.0001,16
2024-06-27 00:00:00,0.0001,0
2024-06-27 08:00:00,0.0001,8
2024-06-27 16:00:00,0.0001,16
2024-06-28 00:00:00,0.0001,0
2024-06-28 08:00:00,0.0001,8
2024-06-28 16:00:00,0.0001,16
2024-06-29 00:00:00,0.0001,0
2024-06-29 08:00:00,0.0001,8
2024-06-29 16:00:00,0.0001,16
2024-06-30 00:00:00,0.0001,0
2024-06-30 08:00:00,0.0001,8
2024-06-30 16:00:00,0.0001,16
2024-07-01 00:00:00,0.0001,0
2024-07-01 08:00:00,0.0001,8
2024-07-01 16:00:00,0.0001,16
2024-07-02 00:00:00,0.0001,0
2024-07-02 08:00:00,0.0001,8
2024-07-02 16:00:00,0.0001,16
2024-07-03 00:00:00,0.0001,0
