timestamp_utc,open,high,low,close,volume
2024-04-18 18:00:00,1.06483,1.06494,1.06419,1.06450,67249474440.0
2024-04-18 19:00:00,1.06451,1.06481,1.06426,1.06436,67086376302.0
2024-04-18 20:00:00,1.06436,1.06457,1.06413,1.06431,64035098461.0
2024-04-18 21:00:00,1.06423,1.06450,1.06423,1.06433,62817494630.0
2024-04-18 22:00:00,1.06432,1.06446,1.06404,1.06404,58256925657.0
2024-04-18 23:00:00,1.06405,1.06439,1.06402,1.06425,62915317594.0
2024-04-19 00:00:00,1.06424,1.06446,1.06360,1.06387,67337126708.0
2024-04-19 01:00:00,1.06384,1.06400,1.06135,1.06187,68111163886.0
2024-04-19 02:00:00,1.06188,1.06237,1.06104,1.06181,68229910690.0
2024-04-19 03:00:00,1.06177,1.06405,1.06152,1.06371,68110458551.0
2024-04-19 04:00:00,1.06372,1.06431,1.06336,1.06347,67579493743.0
2024-04-19 05:00:00,1.06346,1.06409,1.06295,1.06308,67411204505.0
2024-04-19 06:00:00,1.06308,1.06492,1.06270,1.06448,68013737089.0
2024-04-19 07:00:00,1.06449,1.06592,1.06437,1.06554,67980382536.0
2024-04-19 08:00:00,1.06553,1.06553,1.06430,1.06456,67663278902.0
2024-04-19 09:00:00,1.06456,1.06621,1.06451,1.06589,67348184102.0
2024-04-19 10:00:00,1.06589,1.06589,1.06467,1.06473,67585682308.0
2024-04-19 11:00:00,1.06472,1.06552,1.06431,1.06517,67538967592.0
2024-04-19 12:00:00,1.06519,1.06736,1.06496,1.06654,67791284144.0
2024-04-19 13:00:00,1.06654,1.06755,1.06587,1.06658,68036312105.0
2024-04-19 14:00:00,1.06655,1.06775,1.06638,1.06695,68264920517.0
2024-04-19 15:00:00,1.06694,1.06718,1.06536,1.06548,67647027771.0
2024-04-19 16:00:00,1.06548,1.06596,1.06401,1.06534,67540593372.0
2024-04-19 17:00:00,1.06534,1.06584,1.06509,1.06557,67254651779.0
2024-04-19 18:00:00,1.06557,1.06557,1.06465,1.06506,67335330860.0
2024-04-19 19:00:00,1.06506,1.06553,1.06497,1.06547,67123947107.0
2024-04-19 20:00:00,1.06546,1.06578,1.06523,1.06526,66582982168.0
2024-04-21 21:00:00,1.06495,1.06612,1.06456,1.06563,63483116911.0
2024-04-21 22:00:00,1.06561,1.06614,1.06545,1.06587,63753246145.0
2024-04-21 23:00:00,1.06590,1.06610,1.06575,1.06575,66148993596.0
2024-04-22 00:00:00,1.06577,1.06649,1.06527,1.06534,67231776769.0
2024-04-22 01:00:00,1.06533,1.06697,1.06532,1.06682,67171309322.0
2024-04-22 02:00:00,1.06681,1.06706,1.06639,1.06640,66301628910.0
2024-04-22 03:00:00,1.06639,1.06645,1.06604,1.06617,65107100959.0
2024-04-22 04:00:00,1.06617,1.06685,1.06614,1.06652,66106503985.0
2024-04-22 05:00:00,1.06654,1.06660,1.06618,1.06637,65247941099.0
2024-04-22 06:00:00,1.06637,1.06691,1.06605,1.06640,67028844542.0
2024-04-22 07:00:00,1.06639,1.06677,1.06524,1.06584,67449400855.0
2024-04-22 08:00:00,1.06584,1.06623,1.06473,1.06568,67422051700.0
2024-04-22 09:00:00,1.06566,1.06618,1.06489,1.06513,67193130517.0
2024-04-22 10:00:00,1.06513,1.06550,1.06474,1.06505,67210586357.0
2024-04-22 11:00:00,1.06505,1.06508,1.06330,1.06351,67493572114.0
2024-04-22 12:00:00,1.06351,1.06438,1.06308,1.06397,67390720899.0
2024-04-22 13:00:00,1.06396,1.06408,1.06239,1.06331,67676604337.0
2024-04-22 14:00:00,1.06332,1.06477,1.06326,1.06450,67714470710.0
2024-04-22 15:00:00,1.06449,1.06479,1.06406,1.06471,67060618034.0
2024-04-22 16:00:00,1.06471,1.06508,1.06461,1.06488,66792696051.0
2024-04-22 17:00:00,1.06487,1.06577,1.06481,1.06573,65536962069.0
2024-04-22 18:00:00,1.06573,1.06607,1.06542,1.06585,66674142088.0
2024-04-22 19:00:00,1.06585,1.06585,1.06505,1.06519,67240672297.0
2024-04-22 20:00:00,1.06518,1.06552,1.06504,1.06541,66205287710.0
2024-04-22 21:00:00,1.06541,1.06547,1.06510,1.06519,64855000355.0
2024-04-22 22:00:00,1.06518,1.06545,1.06518,1.06542,62487097507.0
2024-04-22 23:00:00,1.06542,1.06558,1.06524,1.06537,64763124775.0
2024-04-23 00:00:00,1.06537,1.06592,1.06537,1.06586,65498611716.0
2024-04-23 01:00:00,1.06587,1.06604,1.06534,1.06542,66838258647.0
2024-04-23 02:00:00,1.06541,1.06605,1.06537,1.06583,66414291848.0
2024-04-23 03:00:00,1.06586,1.06589,1.06545,1.06561,66324807029.0
2024-04-23 04:00:00,1.06561,1.06582,1.06541,1.06550,64994497005.0
2024-04-23 05:00:00,1.06548,1.06548,1.06495,1.06508,66718810441.0
2024-04-23 06:00:00,1.06508,1.06508,1.06385,1.06451,66853847694.0
2024-04-23 07:00:00,1.06451,1.06950,1.06436,1.06793,68049117183.0
2024-04-23 08:00:00,1.06786,1.06831,1.06693,1.06706,67734314186.0
2024-04-23 09:00:00,1.06706,1.06706,1.06561,1.06592,67229122887.0
2024-04-23 10:00:00,1.06593,1.06627,1.06532,1.06549,67227029012.0
2024-04-23 11:00:00,1.06549,1.06780,1.06547,1.06745,67464170701.0
2024-04-23 12:00:00,1.06746,1.06769,1.06640,1.06720,67541848883.0
2024-04-23 13:00:00,1.06720,1.07098,1.06600,1.07012,67813884066.0
2024-04-23 14:00:00,1.07014,1.07112,1.06904,1.06984,68354487339.0
